PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
Payment[].PaymentMethod[].Amount,OriginalPayload.Order.Payment[].PaymentMethod[].Amount,Number,Direct mapping from Payment[].PaymentMethod[].Amount,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentAuthAmount,Number,Default: 0,Yes,0
Payment[].PaymentMethod[].CurrentSettledAmount,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentSettledAmount,Number,Direct mapping from Payment[].PaymentMethod[].CurrentSettledAmount,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentRefundAmount,Number,Default: 0,Yes,0
,OriginalPayload.Order.Payment[].PaymentMethod[].ChargeSequence,Number,Default: null,No,null
Payment[].PaymentMethod[].IsSuspended,OriginalPayload.Order.Payment[].PaymentMethod[].IsSuspended,Boolean,Direct mapping from Payment[].PaymentMethod[].IsSuspended,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].EntryTypeId,String (50),Default: null,No,null
Payment[].PaymentMethod[].GatewayId,OriginalPayload.Order.Payment[].PaymentMethod[].GatewayId,String (50),Direct mapping from Payment[].PaymentMethod[].GatewayId,No,Simulator
,OriginalPayload.Order.Payment[].PaymentMethod[].RoutingNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].RoutingDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CheckNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseState,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseCountry,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BusinessName,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BusinessTaxId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CheckQuantity,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].OriginalAmount,Number,Default: null,No,null
Payment[].PaymentMethod[].IsModifiable,OriginalPayload.Order.Payment[].PaymentMethod[].IsModifiable,Boolean,Direct mapping from Payment[].PaymentMethod[].IsModifiable,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentFailedAmount,Number,Default: 0,No,0
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentOrderId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentPaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentPaymentMethodId,String (50),Default: null,No,null
Payment[].PaymentMethod[].IsVoided,OriginalPayload.Order.Payment[].PaymentMethod[].IsVoided,Boolean,Direct mapping from Payment[].PaymentMethod[].IsVoided,No,false
Payment[].PaymentMethod[].IsCopied,OriginalPayload.Order.Payment[].PaymentMethod[].IsCopied,Boolean,Direct mapping from Payment[].PaymentMethod[].IsCopied,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].GatewayAccountId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].LocationId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].TransactionReferenceId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CapturedInEdgeMode,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].MerchandiseAmount,Number,Default: 0,No,0
,OriginalPayload.Order.Payment[].PaymentMethod[].CapturedSource,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ShopperReference,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].SuggestedAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PurgeDate,Date,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Actions,Object,Default: empty object {},No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.PK,String (50),Generate unique ID using timestamp + random,Yes,7543960028665647216
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.CreatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.UpdatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.938
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.OrgId,String (10),Direct mapping from OrgId,Yes,CFR
Payment[].PaymentMethod[].BillingAddress.Address.FirstName,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.FirstName,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.FirstName,Yes,Grab Customer
Payment[].PaymentMethod[].BillingAddress.Address.LastName,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.LastName,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.LastName,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.Address1,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address1,String (200),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Address1,Yes,Grab Address1
Payment[].PaymentMethod[].BillingAddress.Address.Address2,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address2,String (200),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Address2,No,Grab Address2
Payment[].PaymentMethod[].BillingAddress.Address.Address3,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address3,String (200),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Address3,No,null
Payment[].PaymentMethod[].BillingAddress.Address.City,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.City,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.City,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.State,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.State,String (50),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.State,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,String (20),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,Yes,99999
Payment[].PaymentMethod[].BillingAddress.Address.County,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.County,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.County,No,-
Payment[].PaymentMethod[].BillingAddress.Address.Country,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Country,String (2),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Country,Yes,TH
Payment[].PaymentMethod[].BillingAddress.Address.Phone,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Phone,String (20),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Phone,No,0101010122
Payment[].PaymentMethod[].BillingAddress.Address.Email,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Email,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Address.Email,No,undefined
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.PurgeDate,Date,Default: null,No,null
Payment[].PaymentMethod[].BillingAddress.Extended.AddressRef,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Extended.AddressRef,String (100),Direct mapping from Payment[].PaymentMethod[].BillingAddress.Extended.AddressRef,No,|||4016|TH
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodAttribute,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodEncrAttribute,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Actions,Object,Default: empty object {},No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PK,String (50),Generate unique ID using timestamp + random,Yes,7543960028665655444
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].CreatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UpdatedTimestamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OrgId,String (10),Direct mapping from OrgId,Yes,CFR
Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionId,Yes,fcf8e04e-f409-408d-b103-233af73af95e
Payment[].PaymentMethod[].PaymentTransaction[].RequestedAmount,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestedAmount,Number,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].RequestedAmount,Yes,157
Payment[].PaymentMethod[].PaymentTransaction[].RequestId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].RequestId,Yes,403521240-C7LDVZNUTGAHMA
Payment[].PaymentMethod[].PaymentTransaction[].RequestToken,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestToken,String (100),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].RequestToken,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestedDate,DateTime,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnToken,String (100),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].TransactionDate,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionDate,DateTime,Convert from 'YYYY-MM-DDTHH:mm:ssZ' to 'YYYY-MM-DDTHH:mm:ss',Yes,2025-08-05T12:13:12
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionExpiryDate,DateTime,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].ProcessedAmount,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ProcessedAmount,Number,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].ProcessedAmount,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnProcessedAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RemainingAttempts,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnCount,Number,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].ReconciliationId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReconciliationId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].ReconciliationId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ExternalResponseId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReasonId,String (50),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsValidForRefund,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsValidForRefund,Boolean,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].IsValidForRefund,Yes,true
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReAuthOnSettlementFailure,Boolean,Default: false,No,false
Payment[].PaymentMethod[].PaymentTransaction[].IsActive,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsActive,Boolean,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].IsActive,Yes,true
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RemainingBalance,Number,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsCopied,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsCopied,Boolean,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].IsCopied,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ScheduledTimestamp,DateTime,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].OrderId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OrderId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].OrderId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].StoreAndForwardNumber,String (50),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsActivation,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsActivation,Boolean,Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].IsActivation,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OnHold,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NetworkTransactionId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UniqueTransactionId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsChargeback,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NotificationTimestamp,DateTime,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].AlternateOrderId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PurgeDate,Date,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnParentTransaction,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransAttribute,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransEncrAttribute,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionDetail,Array,Default: empty array [],No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionEMVTags,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionGroup,Array,Default: empty array [],No,[]
Payment[].PaymentMethod[].PaymentTransaction[].TransactionType.PaymentTransactionTypeId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionType.PaymentTransactionTypeId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].TransactionType.PaymentTransactionTypeId,Yes,Settlement
Payment[].PaymentMethod[].PaymentTransaction[].Status.PaymentTransactionStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Status.PaymentTransactionStatusId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].Status.PaymentTransactionStatusId,Yes,Closed
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].AuthorizationType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ProcessingMode,Object,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].PaymentResponseStatus.PaymentResponseStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentResponseStatus.PaymentResponseStatusId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].PaymentResponseStatus.PaymentResponseStatusId,Yes,Success
Payment[].PaymentMethod[].PaymentTransaction[].TransmissionStatus.PaymentTransmissionStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransmissionStatus.PaymentTransmissionStatusId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentTransaction[].TransmissionStatus.PaymentTransmissionStatusId,Yes,Closed
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].InteractionMode,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NotificationStatus,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Extended,Object,Default: empty object {},No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentOrderPaymentMethod,Array,Default: empty array [],No,[]
Payment[].PaymentMethod[].PaymentType.PaymentTypeId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentType.PaymentTypeId,String (50),Direct mapping from Payment[].PaymentMethod[].PaymentType.PaymentTypeId,Yes,Cash On Delivery
,OriginalPayload.Order.Payment[].PaymentMethod[].CardType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentCategory,Object,Default: null,No,null
Payment[].PaymentMethod[].BillingAddress.Address,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingNameString,String (200),CONCAT(BillingAddress.Address.FirstName + ' ' + BillingAddress.Address.LastName),No,Grab Customer -
Payment[].PaymentMethod[].BillingAddress.Address,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingAddressString,String (500),"CONCAT(BillingAddress.Address.Address1 + ',' + BillingAddress.Address.Address2 + ',')",No,"Grab Address1,Grab Address2,"
,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.InstallmentPlan,String (50),Default: null,No,null
Payment[].PaymentMethod[].BillingAddress.Address,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingAddressString2,String (500),"CONCAT(City + ',' + State + ',' + County + ',' + Country + ',' + PostalCode)",No,"-,-,-,TH,99999"
,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.InstallmentRate,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].Status.StatusId,String (10),Default: '5000.000',Yes,5000.000
,OriginalPayload.Order.Payment[].Extended,Object,Default: empty object {},No,{}
OrderChargeDetail[0].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[0].Extended.JdaDiscCode,String (50),Direct mapping from OrderChargeDetail[0].Extended.JdaDiscCode OR null,No,null
OrderChargeDetail[0].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[0].Extended.ChargeDesc,String (200),Direct mapping from OrderChargeDetail[0].Extended.ChargeDesc OR null,No,null
OrderChargeDetail[0].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[0].Extended.CRCTaxAmount,Number,Direct mapping from OrderChargeDetail[0].Extended.CRCTaxAmount OR null,No,null
OrderChargeDetail[0].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[0].Extended.TaxRate,Number,Direct mapping from OrderChargeDetail[0].Extended.TaxRate OR null,No,null
OrderChargeDetail[0].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[0].Extended.MKPPromotionId,String (50),Direct mapping from OrderChargeDetail[0].Extended.MKPPromotionId OR null,No,null
OrderChargeDetail[1].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[1].Extended.JdaDiscCode,String (50),Direct mapping from OrderChargeDetail[1].Extended.JdaDiscCode OR null,No,null
OrderChargeDetail[1].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[1].Extended.ChargeDesc,String (200),Direct mapping from OrderChargeDetail[1].Extended.ChargeDesc OR null,No,null
OrderChargeDetail[1].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[1].Extended.CRCTaxAmount,Number,Direct mapping from OrderChargeDetail[1].Extended.CRCTaxAmount OR null,No,null
OrderChargeDetail[1].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[1].Extended.TaxRate,Number,Direct mapping from OrderChargeDetail[1].Extended.TaxRate OR null,No,null
OrderChargeDetail[1].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[1].Extended.MKPPromotionId,String (50),Direct mapping from OrderChargeDetail[1].Extended.MKPPromotionId OR null,No,null
OrderChargeDetail[2].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[2].Extended.JdaDiscCode,String (50),Direct mapping from OrderChargeDetail[2].Extended.JdaDiscCode OR null,No,null
