PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
,OriginalPayload.Order.Payment[].PaymentMethod[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].CreatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.865
,OriginalPayload.Order.Payment[].PaymentMethod[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].UpdatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:33.687
,OriginalPayload.Order.Payment[].PaymentMethod[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].OrgId,String (10),Direct mapping,Yes,CFR
Payment[].PaymentMethod[].PaymentMethodId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodId,String (50),Direct mapping,Yes,fcf8e04e-f409-408d-b103-233af73af95e
Payment[].PaymentMethod[].CurrencyCode,OriginalPayload.Order.Payment[].PaymentMethod[].CurrencyCode,String (3),Direct mapping,Yes,THB
,OriginalPayload.Order.Payment[].PaymentMethod[].AlternateCurrencyCode,String (3),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ConversionRate,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AlternateCurrencyAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].NameOnCard,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].SwipeData,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CardExpiryMonth,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CardExpiryYear,String (4),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].GiftCardPin,String (20),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CustomerSignature,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CustomerPaySignature,String (500),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ChangeAmount,Number,Default: null,No,null
Payment[].PaymentMethod[].Amount,OriginalPayload.Order.Payment[].PaymentMethod[].Amount,Number,Direct mapping,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentAuthAmount,Number,Default: 0,Yes,0
Payment[].PaymentMethod[].CurrentSettledAmount,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentSettledAmount,Number,Direct mapping,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentRefundAmount,Number,Default: 0,Yes,0
,OriginalPayload.Order.Payment[].PaymentMethod[].ChargeSequence,Number,Default: null,No,null
Payment[].PaymentMethod[].IsSuspended,OriginalPayload.Order.Payment[].PaymentMethod[].IsSuspended,Boolean,Direct mapping,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].EntryTypeId,String (50),Default: null,No,null
Payment[].PaymentMethod[].GatewayId,OriginalPayload.Order.Payment[].PaymentMethod[].GatewayId,String (50),Direct mapping,No,Simulator
,OriginalPayload.Order.Payment[].PaymentMethod[].RoutingNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].RoutingDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CheckNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseNumber,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseState,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].DriversLicenseCountry,String (2),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BusinessName,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BusinessTaxId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CheckQuantity,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].OriginalAmount,Number,Default: null,No,null
Payment[].PaymentMethod[].IsModifiable,OriginalPayload.Order.Payment[].PaymentMethod[].IsModifiable,Boolean,Direct mapping,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].CurrentFailedAmount,Number,Default: 0,No,0
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentOrderId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentPaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentPaymentMethodId,String (50),Default: null,No,null
Payment[].PaymentMethod[].IsVoided,OriginalPayload.Order.Payment[].PaymentMethod[].IsVoided,Boolean,Direct mapping,No,false
Payment[].PaymentMethod[].IsCopied,OriginalPayload.Order.Payment[].PaymentMethod[].IsCopied,Boolean,Direct mapping,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].GatewayAccountId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].LocationId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].TransactionReferenceId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].CapturedInEdgeMode,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].MerchandiseAmount,Number,Default: 0,No,0
,OriginalPayload.Order.Payment[].PaymentMethod[].CapturedSource,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].ShopperReference,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].SuggestedAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PurgeDate,Date,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Actions,Object,Empty object,No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.PK,String (50),Generated ID,Yes,7543960028665647216
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.CreatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.UpdatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.938
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.OrgId,String (10),Direct mapping,Yes,CFR
Payment[].PaymentMethod[].BillingAddress.Address.FirstName,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.FirstName,String (100),Direct mapping,Yes,Grab Customer
Payment[].PaymentMethod[].BillingAddress.Address.LastName,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.LastName,String (100),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.Address1,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address1,String (200),Direct mapping,Yes,Grab Address1
Payment[].PaymentMethod[].BillingAddress.Address.Address2,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address2,String (200),Direct mapping,No,Grab Address2
Payment[].PaymentMethod[].BillingAddress.Address.Address3,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Address3,String (200),Direct mapping,No,null
Payment[].PaymentMethod[].BillingAddress.Address.City,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.City,String (100),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.State,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.State,String (50),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,String (20),Direct mapping,Yes,99999
Payment[].PaymentMethod[].BillingAddress.Address.County,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.County,String (100),Direct mapping,No,-
Payment[].PaymentMethod[].BillingAddress.Address.Country,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Country,String (2),Direct mapping,Yes,TH
Payment[].PaymentMethod[].BillingAddress.Address.Phone,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Phone,String (20),Direct mapping,No,0101010122
Payment[].PaymentMethod[].BillingAddress.Address.Email,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Address.Email,String (100),Direct mapping,No,undefined
,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.PurgeDate,Date,Default: null,No,null
Payment[].PaymentMethod[].BillingAddress.Extended.AddressRef,OriginalPayload.Order.Payment[].PaymentMethod[].BillingAddress.Extended.AddressRef,String (100),Direct mapping,No,|||4016|TH
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodAttribute,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentMethodEncrAttribute,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Actions,Object,Empty object,No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PK,String (50),Generated ID,Yes,7543960028665655444
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].CreatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UpdatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UpdatedTimestamp,DateTime,System generated,Yes,2025-08-05T12:13:22.866
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Messages,String,Default: null,No,null
OrgId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OrgId,String (10),Direct mapping,Yes,CFR
Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionId,String (50),Direct mapping,Yes,fcf8e04e-f409-408d-b103-233af73af95e
Payment[].PaymentMethod[].PaymentTransaction[].RequestedAmount,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestedAmount,Number,Direct mapping,Yes,157
Payment[].PaymentMethod[].PaymentTransaction[].RequestId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
Payment[].PaymentMethod[].PaymentTransaction[].RequestToken,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestToken,String (100),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RequestedDate,DateTime,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnToken,String (100),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].TransactionDate,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionDate,DateTime,Direct mapping,Yes,2025-08-05T12:13:12
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionExpiryDate,DateTime,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].ProcessedAmount,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ProcessedAmount,Number,Direct mapping,Yes,157
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnProcessedAmount,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RemainingAttempts,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnCount,Number,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].ReconciliationId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReconciliationId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ExternalResponseId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReasonId,String (50),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsValidForRefund,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsValidForRefund,Boolean,Direct mapping,Yes,true
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ReAuthOnSettlementFailure,Boolean,Default: false,No,false
Payment[].PaymentMethod[].PaymentTransaction[].IsActive,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsActive,Boolean,Direct mapping,Yes,true
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].RemainingBalance,Number,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsCopied,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsCopied,Boolean,Direct mapping,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ScheduledTimestamp,DateTime,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].OrderId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OrderId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentGroupId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].StoreAndForwardNumber,String (50),Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].IsActivation,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsActivation,Boolean,Direct mapping,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].OnHold,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NetworkTransactionId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].UniqueTransactionId,String (100),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].IsChargeback,Boolean,Default: false,No,false
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NotificationTimestamp,DateTime,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].AlternateOrderId,String (50),Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PurgeDate,Date,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].FollowOnParentTransaction,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransAttribute,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransEncrAttribute,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionDetail,Array,Empty array,No,[]
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionEMVTags,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentTransactionGroup,Array,Empty array,No,[]
Payment[].PaymentMethod[].PaymentTransaction[].TransactionType.PaymentTransactionTypeId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransactionType.PaymentTransactionTypeId,String (50),Direct mapping,Yes,Settlement
Payment[].PaymentMethod[].PaymentTransaction[].Status.PaymentTransactionStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Status.PaymentTransactionStatusId,String (50),Direct mapping,Yes,Closed
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].AuthorizationType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].ProcessingMode,Object,Default: null,No,null
Payment[].PaymentMethod[].PaymentTransaction[].PaymentResponseStatus.PaymentResponseStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].PaymentResponseStatus.PaymentResponseStatusId,String (50),Direct mapping,Yes,Success
Payment[].PaymentMethod[].PaymentTransaction[].TransmissionStatus.PaymentTransmissionStatusId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].TransmissionStatus.PaymentTransmissionStatusId,String (50),Direct mapping,Yes,Closed
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].InteractionMode,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].NotificationStatus,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentTransaction[].Extended,Object,Empty object,No,{}
,OriginalPayload.Order.Payment[].PaymentMethod[].ParentOrderPaymentMethod,Array,Empty array,No,[]
Payment[].PaymentMethod[].PaymentType.PaymentTypeId,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentType.PaymentTypeId,String (50),Direct mapping,Yes,Cash On Delivery
,OriginalPayload.Order.Payment[].PaymentMethod[].CardType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].AccountType,Object,Default: null,No,null
,OriginalPayload.Order.Payment[].PaymentMethod[].PaymentCategory,Object,Default: null,No,null
Calculated,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingNameString,String (200),FirstName + ' ' + LastName,No,Grab Customer -
Calculated,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingAddressString,String (500),Address1 + ',' + Address2 + ',',No,"Grab Address1,Grab Address2,"
,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.InstallmentPlan,String (50),Default: null,No,null
Calculated,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.BillingAddressString2,String (500),City + ',' + State + ',' + County + ',' + Country + ',' + PostalCode,No,"-,-,-,TH,99999"
,OriginalPayload.Order.Payment[].PaymentMethod[].Extended.InstallmentRate,Number,Default: null,No,null
,OriginalPayload.Order.Payment[].Status.StatusId,String (10),Default: '5000.000',Yes,5000.000
,OriginalPayload.Order.Payment[].Extended,Object,Empty object,No,{}
OrderChargeDetail[0].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[0].Extended.JdaDiscCode,String (50),Direct mapping,No,null
OrderChargeDetail[0].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[0].Extended.ChargeDesc,String (200),Direct mapping,No,null
OrderChargeDetail[0].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[0].Extended.CRCTaxAmount,Number,Direct mapping,No,null
OrderChargeDetail[0].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[0].Extended.TaxRate,Number,Direct mapping,No,null
OrderChargeDetail[0].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[0].Extended.MKPPromotionId,String (50),Direct mapping,No,null
OrderChargeDetail[1].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[1].Extended.JdaDiscCode,String (50),Direct mapping,No,null
OrderChargeDetail[1].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[1].Extended.ChargeDesc,String (200),Direct mapping,No,null
OrderChargeDetail[1].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[1].Extended.CRCTaxAmount,Number,Direct mapping,No,null
OrderChargeDetail[1].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[1].Extended.TaxRate,Number,Direct mapping,No,null
OrderChargeDetail[1].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[1].Extended.MKPPromotionId,String (50),Direct mapping,No,null
OrderChargeDetail[2].Extended.JdaDiscCode,OriginalPayload.Order.OrderChargeDetail[2].Extended.JdaDiscCode,String (50),Direct mapping,No,null
OrderChargeDetail[2].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[2].Extended.ChargeDesc,String (200),Direct mapping,No,null
OrderChargeDetail[2].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[2].Extended.CRCTaxAmount,Number,Direct mapping,No,null
OrderChargeDetail[2].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[2].Extended.TaxRate,Number,Direct mapping,No,null
OrderChargeDetail[2].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[2].Extended.MKPPromotionId,String (50),Direct mapping,No,null
OrderExtension1.Extended.IsPSConfirmed,OriginalPayload.Order.OrderExtension1.Extended.IsPSConfirmed,Boolean,Direct mapping,Yes,true
OrderExtension1.Extended.CancelAllowed,OriginalPayload.Order.OrderExtension1.Extended.CancelAllowed,Boolean,Direct mapping,No,true
OrderExtension1.Extended.FullTaxInvoice,OriginalPayload.Order.OrderExtension1.Extended.FullTaxInvoice,Boolean,Direct mapping,No,false
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderShippingTotal,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.AutoSettlement,Boolean,Default: null,No,null
OrderExtension1.Extended.TaxId,OriginalPayload.Order.OrderExtension1.Extended.TaxId,String (50),Direct mapping,No,""
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderTotal,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.T1ConversionRate,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.Extended1,String,Default: null,No,null
OrderExtension1.Extended.AllowSubstitution,OriginalPayload.Order.OrderExtension1.Extended.AllowSubstitution,Boolean,Direct mapping,No,true
,OriginalPayload.Order.OrderExtension1.Extended.T1RedemptionPoint,Number,Default: null,No,null
OrderExtension1.Extended.CompanyName,OriginalPayload.Order.OrderExtension1.Extended.CompanyName,String (200),Direct mapping,No,""
,OriginalPayload.Order.OrderExtension1.Extended.CustRef,String (100),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderTotalDiscount,Number,Default: null,No,null
OrderExtension1.Extended.BranchNo,OriginalPayload.Order.OrderExtension1.Extended.BranchNo,String (50),Direct mapping,No,""
OrderExtension1.Extended.ConfirmPaymentId,OriginalPayload.Order.OrderExtension1.Extended.ConfirmPaymentId,String (50),Direct mapping,Yes,Cash On Delivery
,OriginalPayload.Order.OrderExtension1.Extended.T1Number,String (50),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.T1PhoneNo,String (20),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderSubTotal,Number,Default: null,No,null
OrderExtension1.Extended.ExternalMPSellerId,OriginalPayload.Order.OrderExtension1.Extended.ExternalMPSellerId,String (50),Direct mapping,No,null
DocType.DocTypeId,OriginalPayload.DocTypeId,String (50),Direct mapping,Yes,CustomerOrder
,OriginalPayload.CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
Calculated,OriginalPayload.OrderTotalDiscounts,Number,Sum of line discounts,Yes,-0.08
,OriginalPayload.Priority,Number,Default: null,No,null
,OriginalPayload.IsCancelled,Boolean,Default: false,Yes,false
,OriginalPayload.IsPublished,Boolean,Default: null,No,null
OrderNote[].NoteText,OriginalPayload.HasNotes,Boolean,NoteText is not empty,No,true
Generated,OriginalPayload.ReleaseId,String (50),OrderId + '1',Yes,403521240-C7LDVZNUTGAHMA1
CustomerId,OriginalPayload.CustomerId,String (50),Direct mapping,No,null
OrderLine[].ShipToAddress.Address.City,OriginalPayload.City,String (100),From first order line,Yes,-
OrderId,OriginalPayload.OrderId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.AVSReasonId,String (50),Default: null,No,null
CustomerTypeId,OriginalPayload.CustomerType,String (50),Direct mapping,No,""
,OriginalPayload.IsTaxExempt,Boolean,Default: false,No,false
,OriginalPayload.AddressName,String (100),Default: null,No,null
OrderChargeDetail[0].IsProrated,OriginalPayload.ChargeDetail[0].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[0].IsInformational,OriginalPayload.ChargeDetail[0].IsInformational,Boolean,Direct mapping,Yes,true
